健康,jiàn kāng,"bien portant, sain",3
讲,jiǎng,"raconter, parler, expliquer",3
教,jiào,enseigner,3
角,jiǎo,jiao (1/10 de yuan = 10 centimes) ;; coin ; corne,3
脚,jiǎo,pied; 只,3
接,jiē,chercher (qqn) ; répondre (au; téléphone),3
街道,jiē dào,rue; 条,3
节目,jié mù,"programme (de spectacle),; émission; 个",3
节日,jié rì,"fête, jour de fête",3
结婚,jié hūn,se marier,3
结束,jié shù,"finir, terminer",3
解决,jiě jué,résoudre (un problème),3
借,jiè,"prêter, emprunter",3
经常,jīng cháng,"/ adv.; fréquent, souvent; Vocabulaire HSK; HSK 3; http://www.unige.ch/ic/hsk/; 24",3
经过,jīng guò,"passer par, traverser ; après avoir; (fait)",3
经理,jīng lǐ,directeur (d'une entreprise); 个,3
久,jiǔ,longtemps,3
旧,jiù,"vieux, usé",3
句子,jù zi,phrase; 个,3
决定,jué dìng,"décider, décision; 个",3
可爱,kě ài,kě’ài,3
渴,kě,avoir soif,3
刻,kè,quart d’heure,3
客人,kè rén,"invité, hôte",3
空调,kōng tiáo,air conditionné,3
口,kǒu,bouche ; (uniquement dans le; contexte où on pose la question ou; y répond; 你家几口人？我家四口; 人。; ),3
哭,kū,pleurer,3
裤子,kù zi,pantalon; 条,3
筷子,kuài zi,baguettes; 双,3
蓝,lán,bleu,3
老,lǎo,"vieux, ancien ; (préfixe)",3
离开,lí kāi,quitter,3
礼物,lǐ wù,"cadeau, présent; 个",3
历史,lì shǐ,histoire (faits historiques); 个,3
脸,liǎn,"visage, face; 张",3
练习,liàn xí,"exercer, pratiquer, exercice; 个",3
辆,liàng,(pour véhicules),3
聊天儿,liáo tiān ér,bavarder,3
了解,liǎo jiě,"comprendre, bien connaître,; connaissance",3
邻居,lín jū,voisin; 个,3
留学,liú xué,étudier à l’étranger,3
楼,lóu,"maison à étage(s), étage; 庄; ,; 栋; ,; 层",3
绿,lǜ,vert; Vocabulaire HSK; HSK 3; http://www.unige.ch/ic/hsk/; 25,3
马,mǎ,cheval; 匹,3
马上,mǎ shàng,"immédiatement, sur-le-champ",3
满意,mǎn yì,"satisfait, content, avec satisfaction",3
帽子,mào zi,chapeau; 顶,3
米,mǐ,riz,3
面包,miàn bāo,"pain; 个; ,; 条; ,; 块; ,; 片",3
明白,míng bái,comprendre ; clair,3
拿,ná,"prendre, tenir",3
奶奶,nǎi nǎi,grand-mère (paternelle); 个,3
南,nán,loc.; sud,3
难,nán,difficile,3
难过,nán guò,"triste, avec tristesse ; difficile à; passer (temps, jour)",3
年级,nián jí,"année (degré scolaire), classe; 个",3
年轻,nián qīng,jeune,3
鸟,niǎo,oiseau; 只,3
努力,nǔ lì,"faire des efforts,; consciencieusement",3
爬山,pá shān,randonner en montagne,3
盘子,pán zi,assiette; 个,3
胖,pàng,"gros, corpulent",3
皮鞋,pí xié,"chaussure en cuir; 只; ,; 双",3
啤酒,pí jiǔ,bière,3
瓶子,píng zi,bouteille; 个,3
其实,qí shí,"en fait, en réalité",3
其他,qí tā,"autres, le reste",3
奇怪,qí guài,bizarre,3
骑,qí,"monter (à cheval, à vélo, à moto)",3
起飞,qǐ fēi,décoller,3
起来,qǐ lái,"se dresser, se mettre debout ;; commencer",3
清楚,qīng chǔ,"clair, distinct, intelligible,; clairement ; comprendre, être au; courant, bien savoir",3
请假,qǐng jià,demander congé; Vocabulaire HSK; HSK 3; http://www.unige.ch/ic/hsk/; 26,3
秋,qiū,automne,3
裙子,qún zi,"robe, jupe; 条",3
然后,rán hòu,"puis, ensuite",3
热情,rè qíng,"chaleureux, enthousiaste, avec; enthousiasme",3
认为,rèn wéi,penser (que),3
认真,rèn zhēn,"sérieux, consciencieux",3
容易,róng yì,"facile, facilement",3
如果,rú guǒ,si,3
伞,sǎn,"parapluie, parasol; 把",3
上网,shàng wǎng,"surfer, aller sur Internet",3
生气,shēng qì,être en colère,3
声音,shēng yīn,"son, voix, bruit",3
世界,shì jiè,monde; 个,3
试,shì,"essayer ; test, examen",3
瘦,shòu,"maigre, mince",3
叔叔,shū shū,oncle (frère cadet du père); 个; ;; Monsieur,3
舒服,shū fú,confortable,3
树,shù,arbre; 棵,3
数学,shù xué,mathématiques,3
刷牙,shuā yá,se brosser les dents,3
双,shuāng,une paire de,3
水平,shuǐ píng,niveau; 个,3
司机,sī jī,chauffeur; 个,3
太阳,tài yáng,soleil; 个,3
特别,tè bié,"particulier, spécial,; particulièrement",3
疼,téng,"avoir mal, souffrir",3
提高,tí gāo,"élever, hausser",3
体育,tǐ yù,"éducation physique, sport",3
甜,tián,"sucré, doux",3
条,tiáo,(pour objets longs),3
同事,tóng shì,collègue; 个; Vocabulaire HSK; HSK 3; http://www.unige.ch/ic/hsk/; 27,3
同意,tóng yì,"être d’accord, accepter",3
头发,tóu fà,"cheveu, chevelure; 根",3
突然,tū rán,"soudain, subitement",3
图书馆,tú shū guǎn,bibliothèque; 个,3
腿,tuǐ,jambe; 条,3
完成,wán chéng,"accomplir, mener à bien",3
碗,wǎn,bol; 个，只,3
万,wàn,dix mille,3
忘记,wàng jì,oublier,3
为,wèi,prép.; pour,3
为了,wèi le,"prép.; pour, en vue de, dans le dessein de",3
位,wèi,"(forme polie de; 个; ) ; place,; emplacement; 个",3
文化,wén huà,culture; 种,3
西,xī,loc.; ouest,3
习惯,xí guàn,"habitude; 个; , s’habituer à",3
洗手间,xǐ shǒu jiān,toilettes; 个,3
洗澡,xǐ zǎo,(se) laver,3
夏,xià,été,3
先,xiān,"d’abord, en premier",3
相信,xiāng xìn,"croire, avoir confiance en",3
香蕉,xiāng jiāo,"banane; 根; ,; 条",3
向,xiàng,prép.; vers ; direction,3
像,xiàng,"ressembler, comme ; image,; portrait",3
小心,xiǎo xīn,"faire attention, prudent,; prudemment",3
校长,xiào zhǎng,directeur d’école; 个,3
新闻,xīn wén,"nouvelle, information; 个; ,; 条",3
新鲜,xīn xiān,"frais, nouveau, récent",3
信用卡,xìn yòng kǎ,carte de crédit; 张,3
行李箱,xíng lǐ xiāng,valise; 个,3
熊猫,xióng māo,panda; 只,3
需要,xū yào,"avoir besoin de, besoin; 个; Vocabulaire HSK; HSK 3; http://www.unige.ch/ic/hsk/; 28",3
选择,xuǎn zé,"choisir, choix; 个",3
要求,yāo qiú,"demander, exiger, demande; 个",3
爷爷,yé yé,grand-père (paternel); 个,3
一般,yì bān,"général, ordinaire, généralement",3
一边,yī biān,d’un côté… et de l’autre…,3
一定,yí dìng,"sûr, déterminé, certainement",3
